ingredient,AIC,Artusi,total_usage,artusi_freq,aic_freq,freq_diff
pine nut,76.0,20.0,96.0,2.5316455696202533,2.9242016160061564,0.392556046385903
pancetta,91.0,2.0,93.0,0.25316455696202533,3.5013466717968447,3.2481821148348193
lemon juice,55.0,34.0,89.0,4.30379746835443,2.116198537899192,-2.187598930455238
tomato passata,88.0,0.0,88.0,0.0,3.385917660638707,3.385917660638707
clove,66.0,15.0,81.0,1.89873417721519,2.53943824547903,0.6407040682638401
almond,72.0,7.0,79.0,0.8860759493670887,2.770296267795306,1.8842203184282174
bell pepper,76.0,1.0,77.0,0.12658227848101267,2.9242016160061564,2.797619337525144
cream,58.0,18.0,76.0,2.278481012658228,2.23162754905733,-0.04685346360089815
bread,32.0,44.0,76.0,5.5696202531645564,1.2312427856868027,-4.338377467477754
meat broth,72.0,4.0,76.0,0.5063291139240507,2.770296267795306,2.2639671538712554
stale bread,65.0,10.0,75.0,1.2658227848101267,2.5009619084263175,1.2351391236161908
anchovy,54.0,21.0,75.0,2.6582278481012658,2.077722200846479,-0.5805056472547867
salted anchovy,61.0,13.0,74.0,1.6455696202531647,2.3470565602154676,0.7014869399623029
raisin,65.0,7.0,72.0,0.8860759493670887,2.5009619084263175,1.6148859590592288
walnut,66.0,5.0,71.0,0.6329113924050633,2.53943824547903,1.9065268530739667
baking powder,69.0,1.0,70.0,0.12658227848101267,2.6548672566371683,2.5282849781561554
sausage,58.0,9.0,67.0,1.139240506329114,2.23162754905733,1.0923870427282159
marsala wine,35.0,31.0,66.0,3.9240506329113924,1.3466717968449404,-2.577378836066452
sultana raisin,50.0,16.0,66.0,2.0253164556962027,1.9238168526356292,-0.10149960306057348
frying oil,57.0,6.0,63.0,0.7594936708860759,2.1931512120046173,1.4336575411185413
rum,37.0,26.0,63.0,3.2911392405063293,1.4236244709503656,-1.8675147695559637
ricotta,51.0,10.0,61.0,1.2658227848101267,1.9622931896883418,0.6964704048782151
marjoram,60.0,0.0,60.0,0.0,2.308580223162755,2.308580223162755
sweet almond,17.0,42.0,59.0,5.3164556962025316,0.6540977298961139,-4.662357966306418
oregano,53.0,4.0,57.0,0.5063291139240507,2.0392458637937665,1.5329167498697158
grated pecorino cheese,56.0,0.0,56.0,0.0,2.1546748749519047,2.1546748749519047
polenta flour,43.0,12.0,55.0,1.5189873417721518,1.6544824932666409,0.1354951514944891
dried mushroom,25.0,30.0,55.0,3.79746835443038,0.9619084263178146,-2.8355599281125654
honey,53.0,1.0,54.0,0.12658227848101267,2.0392458637937665,1.9126635853127538
scallion,43.0,10.0,53.0,1.2658227848101267,1.6544824932666409,0.3886597084565142
